Sub-group,I,Incidence,,,Distribution,,Annual growth rateof children in poverty 2003-2009
,2003,2006,2009,2003,2006,2009,
Children (0-17),33,35.2,35.5,100,100,100,3.1
Sex,,,,,,,
Male,33,35.3,35.4,51.2,51.2,50.7,2.9
Female,32.9,35.1,35.6,48.8,48.8,49.3,3.3
Family size,,,,,,,
Less than 3,9,7.7,8.2,0.3,0.3,0.3,2.1
3-4 member,15.1,15.6,15.2,10.1,9.3,9.3,1.8
5-6 members,29.1,31.9,32.9,34.3,35.6,37.2,4.5
7+,48,50.2,51.5,55.3,54.8,53.2,2.4
Geographic dimension,,,,,,,
NCR,4.9,8.1,6.7,1.7,2.9,2,6
CAR,27.3,31.8,30.4,1.6,1.7,1.5,2.5
I-Ilocos Region,30.7,35.4,31,4.8,6,4.5,2.2
II- Cagayan Valley,26.1,26.5,25.5,2.8,3,2.5,0.9
III- Central Luzon,17.2,20.7,21.2,5.1,6.6,6,5.9
IVA- CALABARZON,17.1,19.2,19.8,5.8,6.8,6.7,5.3
IVB- MMIMAROPA,44.3,50.2,44.4,4.4,5.6,4.6,3.7
V- Bicol Region,55.3,55.5,54.7,11.7,12.3,10.9,1.9
VI- Western Visayas,40.4,38.5,41.8,10.1,10,9.4,1.9
VII- Central Visayas,44.8,47.5,45.2,9.7,11.2,9.4,2.7
VIII- Eastern Visayas,46.6,48.4,50.9,7.9,7.9,7.6,2.4
IX- Zamboanga Peninsula,55.1,52,51.9,7,6.6,5.9,0.4
X- Northern Mindanao,46.7,47.9,48.4,7,7.2,6.6,2
XI- Davao,36.7,40.6,40.6,5.5,5.9,5.4,2.8
XII- SOCCSKARGEN,40.9,41.1,44.7,5.9,5.7,5.8,2.8
XIII- CARAGA,50.4,50.4,57.4,4.8,4.8,4.7,2.8
ARMM,37.8,48.2,54.1,4,6.4,6.4,10.9
Residence,,,,,,,
Urban,16.3,18.6,19.1,22.5,23.7,24.5,4.5
Rural 47.0,48.7,49.2,77.5,76.3,75.5,2.7,
,,,,,,,
 Total number of children,,,,,,,
"(0-17), In million",33.7,34.9,37.7,,,,1.9